Textbox12
29/05/2025

Caption1,StockTypeName1,TotDiaWt2,RepairReceiveAmt1,PurchaseValue1,Textbox20
Alphaa Ventures-ALM,APPROVAL,138.932,115.00,"158,548.34",138.932
Alphaa Ventures-ALM,CUSTOMER ORDER,0.234,115.00,"158,548.34",0.234
Alphaa Ventures-ALM,STOCK ORDER,6.686,115.00,"158,548.34",6.686

Textbox4,Caption,Stylecode,InwardDate,Textbox15,Jewelcode,StockTypeName,SubItmName,TotDiaPc,TotDiaWt,GrossWt,RepairReceiveAmt,PurchaseValue
1,Alphaa Ventures-ALM,CO0000001,1/31/2025,118,157162,STOCK ORDER,DIAMOND COIN,3,0.070,2.13,,"17,544.00"
2,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146342,STOCK ORDER,DIAMOND COIN,1,0.010,0.50,,"2,850.00"
3,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146344,STOCK ORDER,DIAMOND COIN,1,0.010,0.50,,"2,850.00"
4,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146345,STOCK ORDER,DIAMOND COIN,1,0.011,0.49,,"2,815.00"
5,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146347,STOCK ORDER,DIAMOND COIN,1,0.010,0.50,,"2,850.00"
6,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146349,STOCK ORDER,DIAMOND COIN,1,0.010,0.45,,"2,076.00"
7,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146351,STOCK ORDER,DIAMOND COIN,1,0.010,0.41,,"1,915.00"
8,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146352,STOCK ORDER,DIAMOND COIN,1,0.010,0.42,,"1,952.00"
9,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146353,STOCK ORDER,DIAMOND COIN,1,0.010,0.40,,"1,875.00"
10,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146354,STOCK ORDER,DIAMOND COIN,1,0.011,0.42,,"1,972.00"
11,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146357,STOCK ORDER,DIAMOND COIN,1,0.011,0.44,,"2,052.00"
12,Alphaa Ventures-ALM,CO0000002,7/27/2024,306,146358,STOCK ORDER,DIAMOND COIN,1,0.010,0.42,,"1,955.00"
13,Alphaa Ventures-ALM,NE0000023,4/22/2025,37,113176,STOCK ORDER,BROAD NECKLACE,294,4.600,31.79,,
14,Alphaa Ventures-ALM,NT0000018,7/10/2024,323,144677,STOCK ORDER,NOSETOP,1,0.229,0.82,,"9,601.00"
15,Alphaa Ventures-ALM,NT0000021,4/24/2024,400,142483,STOCK ORDER,NOSETOP,1,0.230,0.63,,"9,007.00"
16,Alphaa Ventures-ALM,NT0000123,7/10/2024,323,144926,STOCK ORDER,NOSETOP,1,0.313,0.69,,"11,093.00"
17,Alphaa Ventures-ALM,RI0000124,1/28/2023,852,GR00003,STOCK ORDER,GENTS RING,32,0.518,6.70,,"32,889.00"
18,Alphaa Ventures-ALM,RI0000607,7/24/2023,675,GR00039,CUSTOMER ORDER,GENTS RING,12,0.234,3.52,,"18,719.00"
19,Alphaa Ventures-ALM,RI0000846,4/29/2025,30,161724,APPROVAL,COUPLE RING,10,0.120,2.83,,
20,Alphaa Ventures-ALM,ST0001163,3/17/2025,73,158512,STOCK ORDER,STUD,24,0.245,1.42,,"14,945.34"
21,Alphaa Ventures-ALM,VA0000054,12/13/2024,167,ST00507,STOCK ORDER,VALLI STUD,32,0.368,3.22,115.00,"19,588.00"
22,Alphaa Ventures-ALM,W-BA0000169-A,4/29/2025,30,161501,APPROVAL,THIN BANGLE,120,2.072,7.00,,
23,Alphaa Ventures-ALM,W-BA0000196,4/29/2025,30,161499,APPROVAL,THIN BANGLE,126,2.294,15.90,,
24,Alphaa Ventures-ALM,W-BA0000215,4/29/2025,30,161493,APPROVAL,THIN BANGLE,49,0.996,15.52,,
25,Alphaa Ventures-ALM,W-BA0000289,4/29/2025,30,161495,APPROVAL,THIN BANGLE,128,0.997,14.86,,
26,Alphaa Ventures-ALM,W-BA0000289,4/29/2025,30,161496,APPROVAL,THIN BANGLE,128,1.006,14.59,,
27,Alphaa Ventures-ALM,W-BA0000318,4/29/2025,30,161500,APPROVAL,THIN BANGLE,45,2.148,17.88,,
28,Alphaa Ventures-ALM,W-BA0000324,4/29/2025,30,161487,APPROVAL,THIN BANGLE,128,1.145,11.20,,
29,Alphaa Ventures-ALM,W-BA0000324,4/29/2025,30,161488,APPROVAL,THIN BANGLE,128,1.155,11.68,,
30,Alphaa Ventures-ALM,W-BR0000243-B,4/29/2025,30,161526,APPROVAL,LADIES BRACELET,60,2.315,9.97,,
31,Alphaa Ventures-ALM,W-BR0000377,4/29/2025,30,161579,APPROVAL,LADIES BRACELET,50,0.377,3.32,,
32,Alphaa Ventures-ALM,W-BR0000398,4/29/2025,30,161525,APPROVAL,LADIES BRACELET,136,1.680,12.79,,
33,Alphaa Ventures-ALM,W-BR0000412,4/29/2025,30,161580,APPROVAL,LADIES BRACELET,16,0.119,1.82,,
34,Alphaa Ventures-ALM,W-BR0000431,4/29/2025,30,161524,APPROVAL,LADIES BRACELET,306,2.448,16.83,,
35,Alphaa Ventures-ALM,W-BR0000471,4/29/2025,30,161521,APPROVAL,LADIES BRACELET,40,0.334,9.14,,
36,Alphaa Ventures-ALM,W-CH0000034,4/29/2025,30,161545,APPROVAL,PLAIN CHAIN,0,0.000,1.75,,
37,Alphaa Ventures-ALM,W-CH0000098,4/29/2025,30,161562,APPROVAL,DIAMOND CHAIN,4,0.962,2.56,,
38,Alphaa Ventures-ALM,W-CH0000128,4/29/2025,30,161556,APPROVAL,DIAMOND CHAIN,67,0.670,5.66,,
39,Alphaa Ventures-ALM,W-CH0000147,4/29/2025,30,161558,APPROVAL,DIAMOND CHAIN,40,0.365,5.05,,
40,Alphaa Ventures-ALM,W-CH0000179,4/29/2025,30,161552,APPROVAL,DIAMOND CHAIN,20,1.157,3.82,,
41,Alphaa Ventures-ALM,W-CH0000183,4/29/2025,30,161553,APPROVAL,DIAMOND CHAIN,9,0.198,3.70,,
42,Alphaa Ventures-ALM,W-CH0000192,4/29/2025,30,161554,APPROVAL,DIAMOND CHAIN,8,0.525,2.63,,
43,Alphaa Ventures-ALM,W-DR0000200,4/29/2025,30,162056,APPROVAL,STUD DROPS,6,0.119,1.55,,
44,Alphaa Ventures-ALM,W-DR0000216,4/29/2025,30,162066,APPROVAL,STUD DROPS,78,0.652,4.28,,
45,Alphaa Ventures-ALM,W-DR0000217,4/29/2025,30,162064,APPROVAL,STUD DROPS,92,0.692,5.25,,
